,condition,review
393,1,"""Works every time."""
477,1,"""My Dr. prescribed this after 80mg of Nexium stopped working but after a week of Dexilant, I&#039;m stopping it because of the awful flatulence and abdominal pain starting about 12 hrs after taking it.   So glad to get validation here that others have had similar problems since the patient info says this only happens for a small amount of users.  """
503,0,"""Since being diagnosed with Epilepsy I was put on pills to prevent seizures which did not help until I was also put on Loestrin 24 Fe. So far no seizures. I believe its related to a hormonal imbalance and the Birth Control definitely helps. I have not had any bad symptoms at all. No nausea, no mood swings. I have tried every single Birth Control I could think of and this is the only one I like by far. I plan to stay on it for another 6-12 months and try for baby #3."""
571,0,"""I love this birth control because no spotting between periods. A little emotional from the birth control. No mood swings. My last birth control made me bleed constantly every month so I stopped taking it and then I got pregnant and then I went on this birth control and I could be happier. I just wish it wasn&#039;t so expensive."""
796,1,"""I have been on this medication for a couple of days now and it is to heal my stomach lining which was scratched from acid reflux after having an esophagogastroduodenoscopy (EDG) done. This medication is to heal the stomach and made it so that it heals it well and protects it from ever coming back is what I&rsquo;m told from the doctor. The only thing I have noticed so far from this medication is that it does give you dry mouth and a dry throat it is always best to keep your mouth clean and ice water helps a lot. The other thing is if you go to Walmart and buy BIOTENE dry mouth moisturizing spray works excellent After brushing and rinsing your mouth you can also use a lip moisturizer if it irritate your lips also finding that you drink  lots Water Yo"""
855,0,"""I have suffered from severe anxiety (GAD) and was taking more and more Klonopin as time went on.  I am very sensitive to medication and have tried many different SSRI/SNRI&#039;s through the year with horrible side effects.  Finally, I had DNA testing to see what I would respond to and the result was Pristiq.  I started it several months ago in a small dose (I split the pills even though they say don&#039;t do this) and within a few days my anxiety literally went away.  I was able to cut my Klonopin in 1/2 over a two month period.  The first week or two I was extremely tired but that passed.  The only side effect I get from time to time is migraines.  It still amazes me that my anxiety has disappeared.  I no longer keep Klonopin in my  pocket!"""
1011,1,"""Zantac worked wonders on me. I have taken this medicine for 3 almost 4 years now I used to not be able to eat. After I started this medicine I was able to eat a lot more. This worked wonders on me. The other day I took a Prevacid and it didn&#039;t help at all. Also this didn&#039;t work on me at first until my doctor put me on this 2X daily."""
1075,1,"""Ive been taking Dexilant for 3 months. Now I have diarrhea. Besides that this is my miracle pill."""
1087,0,"""I was in a bad car accident 3 years ago and it tore up my already injured back. At first I relied on Cymbalta and narcotics to get through the pain. The narcotics lifted my mood and the Cymbalta did help with all other pain. Eventually the narcotic I was on (lortab) stopped working all together. I&#039;m not a big fan of opiates for pain relief and would not have taken them had it not been my only choice to feel normal. (I couldnt even sit in my car for more than 15 mins without searing nerve pain).I accidently stumbled on a review that said Wellbutrin also helped with back pain. It has been the best thing that&#039;s happened to me. It has replaced both meds and I feel great! Cymbalta was horrible to come off of, Lortab not so much but think I was just lucky."""
1294,1,"""I was diagnosed with severe GERD and Barrett&#039;s Disease several months ago.  I tried everything and nothing seemed to work until now.  Kapidex has been amazing.  I have had no side-effects and at my last gastroscope, everything was looking A LOT better.  Kapidex, along with following GERD food guidelines has made me feel 100% better."""
