,condition,review
0,1,work every time
1,1,dr prescribe mg nexium stop work week dexilant im stop awful flatulence abdominal pain start hr take glad get validation others similar problem since patient info say happen small amount user
2,0,since diagnose epilepsy put pill prevent seizure help also put loestrin fe far seizure believe relate hormonal imbalance birth control definitely help bad symptom nausea mood swing try every single birth control could think one like far plan stay another month try baby
3,0,love birth control spot period little emotional birth control mood swing last birth control make bleed constantly every month stop take get pregnant go birth control could happy wish wasnt expensive
4,1,medication couple day heal stomach line scratch acid reflux esophagogastroduodenoscopy edg do medication heal stomach make heal well protect ever come back irsquom tell doctor thing notice far medication give dry mouth dry throat always best keep mouth clean ice water help lot thing go walmart buy biotene dry mouth moisturize spray work excellent brush rinse mouth also use lip moisturizer irritate lip also find drink lot water yo
5,0,suffer severe anxiety gad take klonopin time go sensitive medication try many different ssrisnris year horrible side effect finally dna test see would respond result pristiq start several month ago small dose split pill even though say dont within day anxiety literally go away able cut klonopin two month period first week two extremely tire pas side effect get time time migraine still amaze anxiety disappear long keep klonopin pocket
6,1,zantac work wonder take medicine almost year use able eat start medicine able eat lot work wonder day take prevacid didnt help also didnt work first doctor put x daily
7,1,ive take dexilant month diarrhea besides miracle pill
8,0,bad car accident year ago tear already injure back first rely cymbalta narcotic get pain narcotic lift mood cymbalta help pain eventually narcotic lortab stop work together im big fan opiate pain relief would take choice feel normal couldnt even sit car min without sear nerve paini accidently stumble review say wellbutrin also help back pain best thing thats happen replace med feel great cymbalta horrible come lortab much think lucky
9,1,diagnose severe gerd barretts disease several month ago try everything nothing seem work kapidex amaze sideeffects last gastroscope everything look lot good kapidex along follow gerd food guideline make feel good
10,0,wow side effect never experience acne like beforei seriously break time im year old want year plan im break like remember th grade
11,0,effective decrease depression develop almost every side effect list include anxiety muscle soreness unbearable joint pain excessive sweat severe memory loss gerd dysuria brain shiver hypothyroidism loss menstruation find medication treat ultimately use prescription medication deal side effect could anticipate side effect expect difficulty wean would continue search good alternative
12,1,use prevacid mg lansoprazole almost year work wonder acid reflux except im bad eat something trigger find work good use daily doctor say take every day effect wear sooner take need day know eat something trigger acid reflux medication effect relief wear stagger take work time
13,0,fibromyalgia slowly get bad year take cymbalta mg first week suffer naggy headache day could still work pain go week completely side effect tighten throat live unfortunately snore husband cant go doctor today put pristiq see stop tight throat go back onto cymbalta amaze effect life
14,1,ive take nearly year honestly say ive heartburnfree since day start take eat thing love use keep night tomato sauce banana peanut butter bad quite expensive pill insurance worth every penny also hassle wait eat morning take able get something work take tagamet zantac stop work month tum rolaids chewables liquid like mylanta quit work year ago doctor decide step prescribe life change
